Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
39,Jarrett Allen\allenja01,C,22,TOT,63,1864,20.1,.661,.039,.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,,4.3,2.1,6.4,.166,,1.4,-0.4,0.9,1.4
40,Tobias Harris\harrito02,PF,28,PHI,62,2014,20.0,.597,.225,.221,3.5,19.2,11.5,17.6,1.3,2.3,9.5,23.9,,4.1,3.1,7.1,.170,,2.8,0.5,3.4,2.7
41,Jrue Holiday\holidjr01,PG,30,MIL,59,1907,20.0,.592,.344,.165,4.2,10.4,7.4,26.3,2.4,1.7,12.6,22.2,,4.3,2.2,6.6,.165,,2.8,0.7,3.5,2.6
42,Christian Wood\woodch01,C,25,HOU,41,1326,20.0,.591,.322,.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,,1.4,1.4,2.8,.100,,1.9,-0.5,1.4,1.2
43,Jaylen Brown\brownja02,SG,24,BOS,58,1999,19.9,.586,.370,.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,,2.8,2.0,4.8,.115,,3.5,-1.0,2.5,2.3
44,Bobby Portis\portibo01,C,25,MIL,66,1372,19.9,.598,.263,.122,9.9,25.3,17.9,7.4,1.8,1.7,8.2,20.9,,2.8,2.0,4.8,.167,,2.0,-0.6,1.4,1.2
45,Julius Randle\randlju01,PF,26,NYK,71,2667,19.7,.567,.294,.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,,3.4,4.3,7.8,.140,,3.0,0.7,3.7,3.8
46,Russell Westbrook\westbru01,PG,32,WAS,65,2369,19.5,.509,.221,.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,,0.5,3.2,3.7,.075,,2.5,0.8,3.4,3.2
47,Devin Booker\bookede01,SG,24,PHO,67,2270,19.2,.587,.288,.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,,2.9,2.0,4.9,.104,,1.4,-1.5,-0.1,1.1
48,Mike Conley\conlemi01,PG,33,UTA,51,1498,19.2,.589,.523,.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,,4.0,2.1,6.1,.197,,3.5,0.9,4.4,2.4
49,Brandon Ingram\ingrabr01,SF,23,NOP,61,2093,19.2,.584,.341,.291,1.8,13.7,7.8,22.4,1.0,1.6,11.0,28.0,,3.9,1.3,5.3,.120,,3.6,-1.4,2.2,2.2
50,Ivica Zubac\zubaciv01,C,23,LAC,72,1609,19.1,.693,.010,.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,,4.8,2.1,6.9,.206,,0.7,0.0,0.7,1.1
51,Mason Plumlee\plumlma01,C,30,DET,56,1499,18.7,.638,.018,.444,10.6,28.1,19.3,21.0,1.4,2.9,18.7,16.3,,3.0,2.1,5.1,.164,,0.3,1.8,2.1,1.5
52,Jamal Murray\murraja01,PG,23,DEN,48,1704,18.3,.592,.399,.193,2.5,10.4,6.5,20.3,1.9,0.7,11.2,24.8,,3.1,1.5,4.6,.129,,2.7,-1.0,1.7,1.6
